smartphone_id,megapixels,diafragma,beeldstabilisatie,flitser
nok_817751,8 MP,2,Geen beeldstabilisatie,Nee
mot_769059,5 MP,"2,2",Geen beeldstabilisatie,Nee
sam_784114,5 MP,"2,2",Geen beeldstabilisatie,Ja
hua_0,8 MP,"1,9",Geen beeldstabilisatie,Nee
hua_0,8 MP,"1,9",Elektronische Beeldstabilisatie,Nee
hua_749401,8 MP,"1,9",Geen beeldstabilisatie,Nee
hon_812409,13 MP,0,Geen beeldstabilisatie,Nee
hua_829116,8 MP,2,Geen beeldstabilisatie,Nee
nok_817777,8 MP,2,Geen beeldstabilisatie,Nee
mot_783248,5 MP,"2,2",Geen beeldstabilisatie,Ja
app_773362,"1,2 MP","2,2",Geen beeldstabilisatie,Nee
sam_698243,5 MP,"1,7",Geen beeldstabilisatie,Nee
mot_783238,2 MP,"2,8",Geen beeldstabilisatie,Ja
sam_759479,16 MP,"1,9",Geen beeldstabilisatie,Nee
nok_806024,16 MP,2,Geen beeldstabilisatie,Nee
wik_712912,5 MP,0,0,Nee
sam_783286,13 MP,"1,9",Geen beeldstabilisatie,Ja
sam_783293,13 MP,"1,9",Geen beeldstabilisatie,Ja
